ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,E_score,S_score,G_score,ESG_score
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,0.5973025048169556,0.30769230769230776,0.615,1147,19-04-2022,BBB,High,1744489,0.5973025048169556,0.30769230769230776,0.615,0.5157286942344745
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,https://static.finnhub.io/logo/9253db78-80c9-11ea-920d-00000000092a.png,https://www.gm.com/,A,High,BB,Medium,B,Medium,0.5973025048169556,0.2820512820512821,0.45000000000000007,1068,17-04-2022,BBB,High,1467858,0.5973025048169556,0.2820512820512821,0.45000000000000007,0.4585363865421669
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,0.10597302504816952,0.4437869822485207,0.4125,880,19-04-2022,BB,Medium,277135,0.10597302504816952,0.4437869822485207,0.4125,0.299275304693824
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,0.7129094412331407,0.27218934911242604,0.5700000000000001,1171,18-04-2022,BBB,High,851968,0.7129094412331407,0.27218934911242604,0.5700000000000001,0.5378205812269842
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,0.5626204238921002,0.2958579881656805,0.4375,1052,18-04-2022,BBB,High,1335258,0.5626204238921002,0.2958579881656805,0.4375,0.4450555660065443
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,0.6685934489402698,0.3116370808678501,0.595,1178,18-04-2022,BBB,High,1300514,0.6685934489402698,0.3116370808678501,0.595,0.539428503836463
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/a67c34fe-80eb-11ea-a87f-00000000092a.png,https://www.thecloroxcompany.com/,A,High,BB,Medium,BB,Medium,0.6936416184971099,0.3747534516765287,0.675,1255,16-04-2022,A,High,21076,0.6936416184971099,0.3747534516765287,0.675,0.5923826829018026
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AACG.svg,http://www.ata.net.cn,B,Medium,B,Medium,B,Medium,0.005780346820809246,0.07889546351084814,0.32499999999999996,608,01-07-2022,B,Medium,1420529,0.005780346820809246,0.07889546351084814,0.32499999999999996,0.12348077778157812
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,https://americanairlines.gcs-web.com/,B,Medium,B,Medium,B,Medium,0.13487475915221575,0.10059171597633138,0.475,746,16-04-2022,B,Medium,6201,0.13487475915221575,0.10059171597633138,0.475,0.2266274184537857
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,http://www.atlam.com/,B,Medium,B,Medium,BB,Medium,0.03853564547206162,0.1203155818540434,0.5625,741,16-04-2022,B,Medium,8177,0.03853564547206162,0.1203155818540434,0.5625,0.22025893274503766
aaoi,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,http://ao-inc.com/,BB,Medium,B,Medium,B,Medium,0.2138728323699422,0.18934911242603553,0.35750000000000004,785,16-04-2022,BB,Medium,1158114,0.2138728323699422,0.18934911242603553,0.35750000000000004,0.24960386667578754
aaon,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,https://www.aaon.com/,A,High,BB,Medium,B,Medium,0.5780346820809248,0.27613412228796846,0.37,1023,16-04-2022,BBB,High,824142,0.5780346820809248,0.27613412228796846,0.37,0.42505410951876044
aapl,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,0.29865125240847784,0.23865877712031563,0.45000000000000007,891,16-04-2022,BB,Medium,320193,0.29865125240847784,0.23865877712031563,0.45000000000000007,0.3260581340994858
aatc,Autoscope Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,,,BBB,High,B,Medium,B,Medium,0.40462427745664736,0.2485207100591716,0.4125,936,11-06-2022,BBB,High,943034,0.40462427745664736,0.2485207100591716,0.4125,0.3601559240004104
aaww,Atlas Air Worldwide Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,https://static.finnhub.io/logo/8b74bf8a-80df-11ea-8463-00000000092a.png,https://www.atlasairworldwide.com/,A,High,B,Medium,B,Medium,0.6165703275529866,0.16370808678500987,0.405,1000,16-04-2022,BBB,High,1135185,0.6165703275529866,0.16370808678500987,0.405,0.4172405570566976
aaci,Armada Acquisition Corp I,USD,NASDAQ NMS - GLOBAL MARKET,,,,B,Medium,B,Medium,B,Medium,0.009633911368015391,0.07889546351084814,0.3125,605,20-06-2022,B,Medium,1844817,0.009633911368015391,0.07889546351084814,0.3125,0.12127220360046059
